"id","date","time","long","lat","depth","mag","src"
"4481","1995-07-20","06:13:32","-80.16","0.59","23.8","4.9","IGEPN"
"4352","1995-12-30","10:41:47","-80.31","-0.71","5.15","3.6","IGEPN"
"4333","1996-02-21","17:16:15","-81.08","-1.88","4.1","4.6","IGEPN"
"4319","1996-05-04","01:16:33","-80.71","-0.1","6","3.7","IGEPN"
"4304","1996-06-17","23:49:49","-80.35","0.76","19.4","4","ISC"
"4303","1996-06-18","03:01:25","-80.22","0.66","12.4","4.2","IGEPN"
"4293","1996-08-05","16:39:11","-81.05","-1.96","12","6.3","IGEPN"
"4292","1996-08-05","17:29:41","-81.05","-1.97","31","3.6","IGEPN"
"4281","1996-11-09","04:05:03","-81.06","-0.53","27.5","4.5","IGEPN"
"4276","1996-12-09","08:05:48","-80.97","-0.31","9.5","4.3","IGEPN"
"4272","1996-12-15","18:30:03","-80.79","-0.12","7.5","4.4","IGEPN"
"4271","1996-12-15","20:46:32","-80.8","-0.12","5","5.5","IGEPN"
"4270","1996-12-17","02:31:53","-80.89","-0.38","13.5","4.4","ISC"
"4269","1996-12-17","10:13:00","-80.57","-0.17","12.7","3.8","IGEPN"
"4268","1996-12-17","10:21:55","-80.66","-0.14","7.9","3.7","IGEPN"
"4266","1996-12-21","15:26:20","-80.63","-0.22","9.6","3.7","IGEPN"
"4265","1996-12-22","07:49:22","-80.65","-0.19","8.4","4.1","IGEPN"
"4264","1996-12-22","20:43:02","-80.67","-0.22","9","3.8","IGEPN"
"4262","1996-12-30","22:28:14","-80.63","-1.2","69.2","3.8","ISC"
"4261","1996-12-31","04:25:43","-80.88","-1.11","12","4.1","IGEPN"
"4260","1997-01-01","17:47:14","-80.75","-0.1","12.5","4","IGEPN"
"4259","1997-01-02","20:44:47","-80.69","-0.16","6.6","3.7","IGEPN"
"4256","1997-01-11","05:27:31","-80.61","-0.09","9.1","4.1","IGEPN"
"4255","1997-01-11","08:41:55","-80.78","-0.15","5.1","3.9","IGEPN"
"4254","1997-01-13","06:23:18","-80.75","-0.17","5.3","3.7","IGEPN"
"4231","1997-03-05","19:36:16","-80.02","0.005","27.13","3.7","IGEPN"
"4228","1997-03-14","10:17:00","-80.97","-1.21","3.2","3.8","IGEPN"
"4227","1997-03-14","16:57:05","-80.87","-1.05","4.9","3.7","IGEPN"
"4209","1997-04-02","07:26:33","-80.39","-1.21","25.92","3.6","IGEPN"
"4203","1997-04-13","21:17:22","-80.91","-0.13","23.66","3.7","IGEPN"
"4202","1997-04-13","21:28:11","-80.73","-0.26","15.6","3.9","IGEPN"
"4196","1997-04-22","17:33:51","-80.53","-0.36","23.1","3.9","IGEPN"
"4195","1997-04-26","19:17:33","-80.46","-0.32","15.73","4.1","IGEPN"
"4186","1997-05-15","21:29:35","-81.14","-1.45","6.8","3.7","IGEPN"
"4179","1997-06-08","05:35:38","-80.88","-0.59","50","4","IGEPN"
"4174","1997-06-16","04:37:17","-80.37","-1.39","14.7","4","IGEPN"
"4167","1997-06-22","05:18:21","-80.05","0.28","20.3","3.8","IGEPN"
"4150","1997-07-13","18:51:16","-80.24","-1.16","76.1","4","ISC"
"4146","1997-07-24","12:48:13","-80.88","-1.25","8.6","3.9","IGEPN"
"4134","1997-08-18","03:32:40","-81.22","-1.19","12","4","IGEPN"
"4126","1997-08-30","21:59:28","-81.16","-1.4","12","3.7","IGEPN"
"4116","1997-09-09","11:17:39","-80.43","0.71","33","4.1","USGS-NEIC"
"4110","1997-09-20","20:20:30","-79.67","0.96","3.26","3.6","IGEPN"
"4106","1997-09-25","19:36:02","-80.32","-1.1","10","3.6","IGEPN"
